Num scan;Nom du Locator;X;Y;Z;% NORD;Plancher
4152;R141_04;12.035437;7.875188;-1.850;50;PLANCHER 01 (-03.50m)
4153;R141_05;3.987173;5.559346;-1.850;50;PLANCHER 01 (-03.50m)
4154;R141_06;6.588921;7.932369;-1.850;50;PLANCHER 01 (-03.50m)
4155;R141_07;8.182411;8.816246;-1.850;50;PLANCHER 01 (-03.50m)
4156;R141_08;9.463492;10.665684;-1.850;50;PLANCHER 01 (-03.50m)
4157;R141_09;11.707134;6.650744;-1.850;50;PLANCHER 01 (-03.50m)
4158;R121_01;7.625378;0.186507;-1.850;50;PLANCHER 01 (-03.50m)
4159;R121_02;9.439656;2.354521;-1.850;50;PLANCHER 01 (-03.50m)
4160;R121_03;10.612353;3.422513;-1.850;50;PLANCHER 01 (-03.50m)
4161;R121_04;13.523154;3.548159;-1.850;50;PLANCHER 01 (-03.50m)
4162;R121_05;13.250921;5.893553;-1.850;50;PLANCHER 01 (-03.50m)
4163;R121_06;14.539822;4.773643;-1.850;50;PLANCHER 01 (-03.50m)
4164;R121_07;10.941675;-1.351882;-1.850;50;PLANCHER 01 (-03.50m)
4165;R121_08;13.896339;-1.481149;-1.850;50;PLANCHER 01 (-03.50m)
4166;R121_09;10.850362;1.073821;-1.850;50;PLANCHER 01 (-03.50m)
4167;R123_02;3.839916;-4.493271;-1.850;50;PLANCHER 01 (-03.50m)
4168;R123_03;5.834078;-4.290964;-1.850;50;PLANCHER 01 (-03.50m)
4169;R123_04;5.475762;-2.084814;-3.100;50;PLANCHER 01 (-03.50m)
4170;R120_01;16.628062;3.693600;-1.850;50;PLANCHER 01 (-03.50m)
4171;R120_02;16.779112;-0.043989;-1.850;50;PLANCHER 01 (-03.50m)
4172;R120_03;16.591445;-2.651360;-1.850;50;PLANCHER 01 (-03.50m)
4173;R120_04;15.863982;-5.184007;-1.850;50;PLANCHER 01 (-03.50m)
4174;R120_05;14.382114;-8.174687;-1.850;50;PLANCHER 01 (-03.50m)
4175;R120_06;13.176961;-10.181598;-1.850;50;PLANCHER 01 (-03.50m)
4176;R120_07;12.611155;-11.914381;-1.850;50;PLANCHER 01 (-03.50m)
4177;R120_08;11.037738;-11.771799;-1.850;50;PLANCHER 01 (-03.50m)
4178;R120_09;10.271543;-12.400079;-1.850;50;PLANCHER 01 (-03.50m)
4179;R120_10;9.459564;-12.952836;-1.850;50;PLANCHER 01 (-03.50m)
4191;R120_11;8.562407;-13.675758;-1.850;50;PLANCHER 01 (-03.50m)
4192;R120_12;2.845365;-14.193606;-1.850;50;PLANCHER 01 (-03.50m)
4193;R120_13;5.854382;-14.874363;-1.850;50;PLANCHER 01 (-03.50m)
4194;R120_14;2.497584;-15.671821;-1.850;50;PLANCHER 01 (-03.50m)
4195;R120_15;-0.545197;-15.626755;-1.850;50;PLANCHER 01 (-03.50m)
4196;R145_01;3.442155;-12.743261;-1.850;50;PLANCHER 01 (-03.50m)
4197;R145_02;3.195502;-9.776627;-1.850;50;PLANCHER 01 (-03.50m)
