Num scan;Locator;X;Y;Z;Delta;Hauteur/cm;Zcorrige;% NORD;PlancherMS
3188;R131_01;-4.803;-7.634;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3189;R131_02;-6.844;-8.928;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3190;R131_03;-8.815;-10.146;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3192;R131_04;-3.788;-8.702;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3193;R131_05;-3.489;-9.847;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3194;R131_06;-3.240;-11.614;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3195;R131_07;-3.439;-13.779;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3196;R131_08;-4.584;-13.182;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4149;R141_01;7.430;3.583;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4150;R141_02;9.373;5.975;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4151;R141_03;10.034;7.975;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4152;R141_04;12.035;7.875;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4153;R141_05;3.987;5.559;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4154;R141_06;6.589;7.932;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4155;R141_07;8.182;8.816;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4156;R141_08;9.463;10.666;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4157;R141_09;11.707;6.651;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4158;R121_01;7.625;0.187;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4159;R121_02;9.440;2.355;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4160;R121_03;10.612;3.423;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4161;R121_04;13.523;3.548;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4162;R121_05;13.251;5.894;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4163;R121_06;14.540;4.774;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4164;R121_07;10.942;-1.352;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4165;R121_08;13.896;-1.481;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4166;R121_09;10.850;1.074;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4167;R123_02;3.840;-4.493;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4168;R123_03;5.834;-4.291;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4169;R123_04;5.476;-2.085;-3.500;;40.000;-3.100;50;PLANCHER 01 (-03.50m)
4170;R120_01;16.628;3.694;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4171;R120_02;16.779;-0.044;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4172;R120_03;16.591;-2.651;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4173;R120_04;15.864;-5.184;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4174;R120_05;14.382;-8.175;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4175;R120_06;13.177;-10.182;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4176;R120_07;12.611;-11.914;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4177;R120_08;11.038;-11.772;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4178;R120_09;10.272;-12.400;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4179;R120_10;9.460;-12.953;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4191;R120_11;8.562;-13.676;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4192;R120_12;2.845;-14.194;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4193;R120_13;5.854;-14.874;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4194;R120_14;2.498;-15.672;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4195;R120_15;-0.545;-15.627;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4196;R145_01;3.442;-12.743;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4197;R145_02;3.196;-9.777;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4198;R145_03;2.920;-7.851;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4199;R145_04;2.045;-6.751;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4200;R120_16;-3.224;-15.618;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4201;R130b_01;-5.222;-14.969;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4202;R130b_02;-6.599;-15.089;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4203;R130a_12;-8.820;-13.550;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4204;R131_09;-7.757;-12.042;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4205;R130a_13;-9.864;-12.619;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4206;R130a_14;-11.977;-10.721;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
4207;R130a_15;-13.395;-8.743;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
2115;R211_01;-4.430;13.958;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2116;R232_01;-6.056;-6.049;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2117;R232_02;-6.824;-4.489;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2118;R232_03;-8.368;-7.005;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2119;R232_04;-9.865;-6.096;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2120;R246_01;0.218;-8.032;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2121;R246_02;0.099;-10.400;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2122;R220b_01;0.318;-13.960;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2123;R220b_02;1.519;-14.069;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2124;R245_01;3.550;-8.762;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2125;R245_02;3.616;-11.239;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2126;R246_03;-1.520;-8.280;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2127;R245_03;1.616;-8.743;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2128;R210a_01;9.505;13.898;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2129;R210a_02;8.219;14.627;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
2130;R210a_03;5.582;15.704;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3081;R248_01;8.986;11.363;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3082;R248_02;8.005;10.381;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3083;R248_03;5.489;7.879;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3084;R248_04;4.024;6.553;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3085;R213_01;3.015;5.571;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3086;R213_02;1.828;6.739;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3087;R213_03;1.098;8.194;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3088;R213_04;0.670;11.547;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3089;R213_05;0.348;15.123;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3090;R248_05;2.482;11.680;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3091;R248_06;2.443;9.997;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3092;R248_07;2.813;13.241;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3093;R248_08;4.199;12.961;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3094;R248_09;5.293;13.484;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3095;R212_01;-1.635;8.117;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3096;R212_02;-2.713;9.861;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3097;R212_03;-0.885;10.171;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3098;R211_02;-4.552;12.362;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3099;R211_03;-5.446;13.508;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3100;R230b_01;-12.890;10.892;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3101;R230b_02;-14.452;10.860;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3102;R230b_03;-14.213;8.215;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3103;R230b_04;-14.866;6.159;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3119;R210a_04;-12.358;13.178;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3120;R210a_05;-10.111;12.889;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3121;R210a_06;-8.154;14.719;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3122;R210a_07;-5.875;14.879;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3123;R210a_08;-2.890;16.596;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3124;R210a_09;0.205;16.678;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3125;R210a_10;3.077;16.357;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3126;R230a_01;-14.605;-7.739;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3127;R230a_02;-13.345;-10.018;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3128;R230a_03;-10.871;-12.658;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3129;R230a_04;-7.983;-14.546;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3130;R230a_05;-6.405;-15.088;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3131;R230a_06;-4.946;-15.974;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3132;R230a_07;-16.951;-0.710;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3133;R220b_03;4.710;-16.398;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3134;R220b_04;-2.823;-16.739;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3135;R220b_05;-0.647;-16.855;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3136;R220b_06;2.025;-16.909;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3137;R220a_01;6.805;-15.051;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3138;R220a_02;8.584;-13.985;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3139;R220a_03;10.573;-12.568;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3140;R220a_04;12.252;-11.017;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3141;R220a_05;14.130;-8.439;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3142;R220a_06;15.490;-5.915;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3143;R220a_07;17.388;-4.417;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3144;R230a_08;-16.347;4.508;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3145;R220a_08;15.823;-2.247;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3146;R220a_09;16.598;0.069;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3147;R220a_10;16.545;2.898;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3148;R210b_01;15.979;5.308;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3149;R210b_02;14.668;7.372;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3150;R210b_03;14.193;8.680;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3151;R210b_04;12.999;10.503;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3152;R210b_05;11.356;12.313;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3153;R220a_11;17.799;0.085;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3154;R247_01;-14.126;4.683;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3155;R247_02;-12.744;3.789;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3156;R247_03;-8.354;3.061;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3157;R247_04;-6.834;3.233;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3158;R247_05;-8.204;5.310;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3159;R247_06;-11.223;7.879;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3160;R247_07;-6.754;0.744;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3161;R247_08;-7.468;-3.630;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3162;R247_09;-9.457;-3.203;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3163;R247_10;-12.384;-4.411;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3164;R247_11;-10.145;-5.504;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3165;R247_12;-13.959;-2.834;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3166;R247_13;-13.010;-6.938;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3167;R230a_09;-16.441;-6.602;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3168;R247_14;-14.495;1.514;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3169;R247_15;-10.622;1.010;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
3170;R247_16;-9.468;-0.775;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4117;R223_01;6.926;0.509;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4118;R221_01;9.586;2.166;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4119;R221_02;11.743;3.522;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4120;R221_03;14.032;3.851;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4121;R221_04;13.537;5.834;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4122;R221_05;12.707;6.414;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4123;R223_02;5.965;2.716;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4124;R213_06;4.113;4.704;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4125;R213_07;0.967;6.574;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4126;R247_17;-11.541;9.556;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4127;R211_04;-8.658;8.576;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4128;R211_05;-6.535;5.970;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4129;R211_06;-5.533;8.815;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4130;R211_07;-4.547;7.118;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4131;R213_08;-3.153;5.651;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4132;R213_09;-0.621;6.686;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4133;R213_10;-4.466;3.671;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4134;R233_01;-5.932;-3.057;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4135;R233_02;-4.518;-5.042;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4136;R233_03;-4.108;-5.688;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4137;R233_04;-3.207;-5.999;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4138;R231_01;-4.022;-7.264;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4139;R233_05;-1.554;-6.093;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
